Serial number,Sector,Total demand (Pers.),Junior middle school,Senior middle school,Technical secondary school,Junior college,Bachelor's degree,Master's degree,Doctor's degree,MBA,Unlimited
1.0,Computer software ,286.0,2.0,0.0,0.0,4.0,3.0,0.0,0.0,0.0,18.0
2.0,Sales management,2718.0,4.0,29.0,20.0,209.0,6.0,0.0,0.0,0.0,183.0
3.0,market/marketing,2032.0,3.0,20.0,12.0,94.0,8.0,0.0,0.0,0.0,108.0
4.0,Sales ,9820.0,25.0,128.0,164.0,228.0,12.0,0.0,0.0,0.0,389.0
5.0,Computer hardware,24.0,0.0,0.0,0.0,4.0,2.0,0.0,0.0,0.0,2.0
6.0,Internet development and application,89.0,0.0,0.0,0.0,20.0,1.0,0.0,0.0,0.0,20.0
7.0,IT-Management,20.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0
8.0,"IT-QM, technical support and more",11.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,2.0
9.0,Communications technology,2.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0
10.0,Electronics/appliances/semiconductor/instrumentation,109.0,0.0,1.0,0.0,23.0,8.0,0.0,0.0,0.0,2.0
11.0,Finance/auditing/tax,258.0,2.0,13.0,4.0,82.0,2.0,0.0,0.0,0.0,47.0
12.0,Engineering/machinery/energy,309.0,0.0,0.0,1.0,40.0,21.0,0.0,0.0,0.0,17.0
13.0,HR,268.0,0.0,12.0,3.0,67.0,3.0,0.0,0.0,0.0,16.0
14.0,Senior management,59.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,13.0
15.0,Logistics/warehousing,271.0,2.0,13.0,2.0,7.0,2.0,0.0,0.0,0.0,63.0
16.0,Art/graphics/Animation design,152.0,0.0,0.0,4.0,26.0,3.0,0.0,0.0,0.0,19.0
17.0,Science & Technology,16.0,0.0,0.0,0.0,2.0,7.0,0.0,0.0,0.0,0.0
18.0,Legal profession/law,4.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0
19.0,Education,248.0,0.0,1.0,0.0,24.0,12.0,0.0,0.0,0.0,23.0
20.0,Hospital/medical/care,184.0,0.0,0.0,1.0,21.0,0.0,0.0,0.0,0.0,3.0
21.0,Counsel/consulting,466.0,0.0,2.0,8.0,30.0,1.0,0.0,0.0,0.0,17.0
22.0,Transportation service,69.0,8.0,4.0,5.0,0.0,0.0,0.0,0.0,0.0,22.0
23.0,Translation,6.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,2.0
24.0,Construction/infrastructure/gardening,317.0,0.0,0.0,6.0,23.0,15.0,0.0,0.0,0.0,15.0
25.0,Office administration/logistics,705.0,3.0,8.0,14.0,143.0,10.0,0.0,0.0,0.0,118.0
26.0,Customer service and technical support,629.0,1.0,20.0,11.0,44.0,4.0,0.0,0.0,0.0,43.0
27.0,Securities/finance/investment,687.0,7.0,9.0,1.0,24.0,4.0,0.0,0.0,0.0,39.0
28.0,Insurance,360.0,0.0,7.0,2.0,25.0,4.0,0.0,0.0,0.0,6.0
29.0,Production/operation,96.0,1.0,0.0,4.0,32.0,5.0,0.0,0.0,0.0,3.0
